,Oddball EBR (blink/min),Resting EBR (blink/min),Oddball LIBIV,Resting LIBIV,Oddball Mean Amplitude (µV),Resting Mean Amplitude (µV),Oddball Mean Duration (ms),Resting Mean Duration (ms),Oddball Mean Fall Time (ms),Resting Mean Fall Time (ms),Oddball Mean Rise Time (ms),Resting Mean Rise Time (ms)
count,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
mean,15.070862573391713,17.225184619302265,0.9509670912727181,0.9003892779970262,283.7802869254434,290.1797486178957,584.9025269982172,578.2190407522745,302.9636659739834,297.2748891918365,281.9388610242338,280.94415156043806
std,6.628894802107133,6.064171484637882,0.2658396208569098,0.20361395856461417,178.76899099780834,188.30020486572403,74.69971824780853,66.36625705716429,48.16154457130654,41.470740622973906,32.30523450867376,30.022883517124086
min,8.0,10.114285714285716,0.6837028634031733,0.6386787223905553,53.57719221556349,50.71787647135063,482.96875,497.0625,243.94869942196533,239.9816176470588,234.921875,250.62003968253967
25%,9.5,12.833333333333332,0.7381030692745567,0.7223865395404359,156.12137207416842,174.21385761443298,533.2705999066293,530.0082878087501,267.1726676781824,263.8107651048233,258.38913057997763,258.34270175012153
50%,15.666666666666666,15.666666666666666,0.837238489662772,0.8660706618021956,187.06518540073716,325.3184426014706,558.843085106383,571.4992088607595,289.89955357142856,311.6688829787234,276.7740885416667,269.780585106383
75%,18.916666666666664,20.5,1.0786657495224263,1.0609202816815482,401.17227932759727,358.47662876119637,652.7103925586628,605.0445357999315,336.60721909153006,318.2987538540596,301.9419479090242,295.3063780892104
max,28.83333333333333,29.5,1.4097053923676626,1.2702409250100732,626.0149041358907,734.0141979132296,695.8512931034483,688.2944915254237,377.2898706896552,364.9364406779661,337.890625,341.6666666666667
cv_percent,43.984840083478346,35.20526263528385,27.954660397461893,22.613991918869417,62.99556355187409,64.89088427520656,12.771310568818283,11.477701766932556,15.896805452387929,13.950300590714253,11.45824112054457,10.686424099013651
