,Oddball EBR (blink/min),Resting EBR (blink/min),Oddball LIBIV,Resting LIBIV,Oddball Mean Amplitude (µV),Resting Mean Amplitude (µV),Oddball Mean Duration (ms),Resting Mean Duration (ms),Oddball Mean Fall Time (ms),Resting Mean Fall Time (ms),Oddball Mean Rise Time (ms),Resting Mean Rise Time (ms)
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
mean,15.071415170011118,16.001940555993613,0.93766760319714,0.937291687391908,231.99046681029932,311.1555117348927,575.2958687290259,572.2675537657253,289.8145419224236,293.1339144737946,285.4813268066023,279.13363929193065
std,3.5220358288480322,4.0322675821521115,0.2671484780576832,0.29903778679370413,120.83757593883902,164.5708304979168,43.519150101293604,42.17031717964609,33.886772337475534,40.13452520033628,38.35069800043723,27.162245495335345
min,10.666666666666666,10.411764705882351,0.5416399859545513,0.5666331641782819,144.8246433804987,151.990492649604,512.8855519480519,523.8882211538462,239.4345238095238,239.58333333333331,243.69673295454547,251.26008064516128
25%,11.625,13.18147825289044,0.8461942476102747,0.8061634786525906,155.32162355330357,216.34087381684873,540.8365375195924,538.7301148566854,263.4208463949843,267.75625091054775,251.74604826746528,258.7273013109635
50%,15.285660680044478,16.016953713670613,0.8979150800615131,0.8956147887638797,178.64508807354883,259.4323592929492,583.0799722906404,568.6162375930521,291.4181891653605,279.21168715305316,285.4108537946429,271.11896821475625
75%,17.958333333333332,18.8721495547494,0.9722008462477807,0.9489597893406744,248.18788194177273,355.77256618568913,605.1182338169642,599.6746969063545,314.9378679800725,330.7113689174412,305.9568848388306,295.8233173076923
max,19.33333333333333,22.0,1.4957676549555343,1.598857344132886,435.91277823424,606.7406957875871,632.9257246376811,633.0773305084746,335.49107142857144,345.56159420289856,356.54761904761904,320.1121794871795
cv_percent,23.36897888564657,25.198616180596947,28.490744177019046,31.90445309781863,52.08730237939,52.89021864993754,7.564655417644215,7.368986220195485,11.692571432991176,13.69153251079182,13.43369754842764,9.730910815420508
